QUOTEDATE,SpotDZYangDiPowder,SpotDZPB_Powder,SpotDZJinBubaPowder,SpotDZKaraLaraFinePowder,SpotDZKaraJagasPowder,SpotDZBaMixBRBF,SpotDZUltraSpecialPowder,PusiIndex62USD,SpotDiscountPort,BaseDZYangDiPowder,BaseDZUltraSpecialPowder,BaseDZPB_Powder,BaseDZJinBubaPowder,SwapJan,SwapMay,SwapSep,ImportProfitJan,ImportProfitMay,ImportProfitSep,RebarMineRatioSpot,RebarMineRatioJan,RebarMineRatioMay,RebarMineRatioOct,date
2022-07-13,758.0,773.0,733.0,1195.0,906.0,863.0,655.0,109.4,870.0,204.0,119.0,85.0,142.0,108.16,105.57,103.43,-128.39,-177.69,-178.42,4.84,5.34,5.79,5.88,2023-11-16
2022-07-14,717.0,735.0,692.0,1172.0,868.0,825.0,628.0,100.25,800.0,195.0,126.0,80.0,134.0,99.89,98.19,96.19,-101.95,-154.03,-150.82,5.06,5.51,5.93,5.98,2023-11-16
2022-07-15,664.0,678.0,632.0,1111.0,798.0,768.0,588.0,96.6,775.0,187.0,133.0,68.0,120.0,96.16,94.78,92.82,-123.91,-157.92,-153.02,5.23,5.56,5.86,5.88,2023-11-16
2022-07-18,688.0,709.0,662.0,1130.0,822.0,799.0,605.0,100.9,807.0,179.0,117.0,68.0,118.0,,,,,,,5.09,5.57,5.84,5.88,2023-11-16
2022-07-19,662.0,681.0,641.0,1120.0,794.0,771.0,575.0,96.45,773.0,173.0,107.0,60.0,118.0,97.38,96.91,95.12,-123.68,-152.6,-148.96,5.34,5.75,5.9,5.92,2023-11-16
2022-07-20,665.0,685.0,638.0,1120.0,801.0,775.0,583.0,97.55,782.0,168.0,107.0,55.0,106.0,100.18,100.39,98.74,-136.07,-167.17,-165.59,5.3,5.76,5.88,5.88,2023-11-16
2022-07-21,654.0,670.0,627.0,1053.0,780.0,760.0,570.0,96.4,775.0,164.0,101.0,47.0,103.0,,,,,,,5.39,5.83,5.85,5.84,2023-11-16
2022-07-22,675.0,700.0,647.0,1041.0,825.0,790.0,574.0,100.35,804.0,163.0,82.0,56.0,100.0,103.83,103.8,102.35,-150.37,-186.64,-189.56,5.19,5.67,5.78,5.82,2023-11-16
2022-07-25,705.0,718.0,671.0,1041.0,840.0,808.0,601.0,104.0,832.0,166.0,81.0,46.0,96.0,,,,,,,5.1,5.43,5.57,5.59,2023-11-16
2022-07-26,736.0,751.0,699.0,1045.0,855.0,841.0,623.0,111.7,890.0,163.0,67.0,44.0,89.0,112.12,111.04,109.3,-145.24,-190.5,-190.22,4.89,5.19,5.43,5.45,2023-11-16
2022-07-27,736.0,751.0,689.0,1045.0,850.0,826.0,619.0,111.05,888.0,167.0,67.0,48.0,82.0,112.39,111.69,109.97,-150.54,-205.2,-206.08,4.91,5.26,5.53,5.58,2023-11-16
2022-07-28,770.0,800.0,733.0,1050.0,893.0,860.0,657.0,117.95,936.0,155.0,59.0,53.0,80.0,118.69,117.19,115.41,-152.91,-207.93,-209.3,4.74,5.11,5.4,5.45,2023-11-16
2022-07-29,764.0,783.0,720.0,1050.0,880.0,843.0,650.0,114.0,907.0,160.0,63.0,46.0,78.0,114.99,113.84,112.24,-131.93,-190.17,-190.98,4.86,5.11,5.43,5.47,2023-11-16
2022-08-01,771.0,790.0,728.0,1050.0,904.0,850.0,667.0,112.9,899.0,163.0,77.0,49.0,81.0,114.75,113.64,112.05,-125.44,-181.48,-182.86,4.96,5.2,5.47,5.5,2023-11-16
2022-08-02,784.0,797.0,741.0,1060.0,910.0,857.0,667.0,113.3,902.0,157.0,57.0,37.0,75.0,114.67,113.54,112.0,-105.22,-168.1,-172.86,4.9,5.09,5.34,5.39,2023-11-16
2022-08-03,758.0,771.0,721.0,1045.0,890.0,831.0,659.0,108.1,866.0,149.0,68.0,28.0,74.0,109.93,107.76,107.29,-89.52,-140.48,-154.39,5.07,5.17,5.44,5.5,2023-11-16
2022-08-04,739.0,752.0,702.0,1020.0,870.0,812.0,618.0,103.8,831.0,158.0,54.0,38.0,84.0,105.71,105.48,104.2,-91.54,-157.78,-164.47,5.16,5.26,5.5,5.57,2023-11-16
2022-08-05,739.0,779.0,726.0,1040.0,890.0,839.0,642.0,106.95,853.0,134.0,56.0,43.0,86.0,109.11,108.55,107.15,-91.41,-144.63,-149.43,5.0,5.17,5.34,5.4,2023-11-16
2022-08-08,745.0,787.0,734.0,1041.0,907.0,847.0,652.0,108.8,870.0,125.0,51.0,36.0,78.0,111.67,110.92,109.45,-92.06,-145.35,-153.15,5.03,5.19,5.41,5.47,2023-11-16
2022-08-09,733.0,778.0,727.0,1029.0,895.0,838.0,641.0,,,122.0,49.0,36.0,81.0,109.58,108.53,107.0,-89.74,-145.2,-155.0,5.08,5.2,5.45,5.53,2023-11-16
2022-08-10,730.0,775.0,726.0,1029.0,890.0,835.0,640.0,108.4,866.0,112.0,42.0,27.0,74.0,109.88,108.32,107.47,-84.65,-140.74,-155.25,5.06,5.13,5.39,5.47,2023-11-16
2022-08-11,741.0,789.0,734.0,1029.0,900.0,846.0,651.0,110.6,879.0,106.0,36.0,24.0,64.0,112.28,111.3,109.86,-85.34,-147.35,-158.85,4.98,5.07,5.32,5.4,2023-11-16
2022-08-12,733.0,778.0,729.0,1029.0,895.0,838.0,636.0,108.85,867.0,107.0,28.0,21.0,68.0,110.37,109.5,108.07,-76.15,-140.53,-152.15,5.1,5.18,5.43,5.52,2023-11-16
2022-08-15,717.0,762.0,708.0,1020.0,874.0,822.0,632.0,104.4,833.0,102.0,38.0,17.0,59.0,105.98,105.33,103.99,-57.32,-132.87,-143.16,5.24,5.24,5.52,5.59,2023-11-16
2022-08-16,720.0,762.0,712.0,1020.0,873.0,822.0,633.0,104.05,834.0,104.0,37.0,16.0,62.0,105.63,104.99,103.61,-53.12,-117.24,-128.23,5.25,5.26,5.46,5.53,2023-11-16
2022-08-17,707.0,737.0,687.0,1010.0,850.0,797.0,620.0,100.4,808.0,119.0,53.0,18.0,64.0,101.65,101.26,100.14,-55.98,-128.99,-139.42,5.38,5.25,5.55,5.63,2023-11-16
2022-08-18,709.0,734.0,683.0,1010.0,849.0,794.0,618.0,100.6,809.0,123.0,52.0,16.0,61.0,100.0,101.76,101.18,-46.35,-141.85,-154.9,5.35,5.33,5.59,5.66,2023-11-16
2022-08-19,705.0,729.0,676.0,1010.0,845.0,789.0,618.0,99.7,805.0,121.0,54.0,12.0,56.0,99.28,100.83,100.41,-42.15,-137.02,-153.3,5.36,5.19,5.51,5.6,2023-11-16
2022-08-22,710.0,739.0,679.0,1010.0,855.0,799.0,625.0,100.65,814.0,125.0,60.0,22.0,58.0,100.13,101.71,101.28,-50.13,-129.79,-148.98,5.29,5.29,5.51,5.6,2023-11-16
2022-08-23,720.0,749.0,696.0,1020.0,859.0,809.0,635.0,102.3,830.0,119.0,54.0,16.0,59.0,101.59,103.24,102.79,-45.89,-128.61,-153.14,5.26,5.23,5.45,5.57,2023-11-16
